Depth,GR,RHOB,Vel
1677.5,80.53,2.456,3111
1677.66,78.64,2.465,3086
1677.81,74.19,2.459,3086
1677.96,71.33,2.437,3101
1678.11,75.02,2.438,3135
1678.27,79.23,2.437,3145
1678.42,80.7,2.441,3115
1678.57,80.17,2.443,3101
1678.72,80.89,2.444,3115
1678.88,81.34,2.462,3155
1679.03,82.39,2.47,3175
1679.18,82.18,2.479,3160
1679.33,79.7,2.496,3120
1679.49,77.1,2.485,3105
1679.64,76.07,2.478,3100
1679.79,76.91,2.47,3115
1679.94,78.84,2.452,3135
1680.09,81.39,2.44,3144
1680.25,84.19,2.432,3159
1680.4,83.45,2.432,3180
1680.55,81.28,2.44,3195
1680.7,78.92,2.455,3422
1680.86,75.3,2.472,3538
1681.01,70.93,2.49,3596
1681.16,69.41,2.512,3616
1681.31,72.37,2.508,3544
1681.47,75.35,2.483,3242
1681.62,74.49,2.46,3164
1681.77,72.76,2.445,3154
1681.92,75.03,2.44,3139
1682.08,78.63,2.438,3139
1682.23,78.82,2.445,3179
1682.38,79.15,2.453,3144
1682.53,78.52,2.447,3104
1682.69,79.6,2.441,3085
1682.84,82.35,2.443,3089
1682.99,83.58,2.449,3104
1683.14,82.18,2.464,3119
1683.3,81.25,2.481,3128
1683.45,81.65,2.505,3128
1683.6,80.74,2.498,3128
1683.75,78.72,2.476,3128
1683.9,77.16,2.468,3133
1684.06,75.97,2.471,3138
1684.21,78.31,2.479,3143
1684.36,82.1,2.472,3153
1684.51,83.35,2.457,3158
1684.67,82.41,2.458,3158
1684.82,79.38,2.466,3158
1684.97,77.37,2.465,3153
1685.12,78.06,2.467,3158
1685.28,79.16,2.482,3158
1685.43,77.91,2.487,3173
1685.58,74.76,2.475,3178
1685.73,73.8,2.471,3183
1685.89,77.13,2.476,3198
1686.04,80.46,2.479,3204
1686.19,80.5,2.473,3219
1686.34,77.03,2.457,3262
1686.5,72.31,2.457,3311
1686.65,68.4,2.471,3344
1686.8,68.14,2.484,3294
1686.95,72.39,2.489,3219
1687.11,77.29,2.484,3162
1687.26,80.43,2.476,3127
1687.41,80.93,2.472,3107
1687.56,78.96,2.476,3103
1687.71,75.78,2.476,3137
1687.87,74.74,2.477,3177
1688.02,78.12,2.474,3213
1688.17,80.74,2.476,3219
1688.32,80.55,2.478,3198
1688.48,78.68,2.465,3172
1688.63,80.13,2.468,3152
1688.78,84.36,2.484,3137
1688.93,83.56,2.49,3157
1689.09,79.4,2.485,3218
1689.24,79.19,2.475,3203
1689.39,81.97,2.483,3177
1689.54,82.03,2.5,3151
1689.7,80.2,2.507,3136
1689.85,81.66,2.499,3117
1690,82.76,2.485,3102
1690.15,82.95,2.477,3092
1690.31,81.89,2.486,3078
1690.46,83.05,2.499,3092
1690.61,81.9,2.495,3121
1690.76,79.55,2.483,3151
1690.92,80.42,2.477,3136
1691.07,83.35,2.504,3116
1691.22,83.45,2.525,3116
1691.37,80.05,2.525,3131
1691.52,76.9,2.514,3156
1691.68,75.14,2.497,3186
1691.83,74.72,2.487,3217
1691.98,74.84,2.487,3212
1692.13,75.71,2.5,3181
1692.29,77.1,2.517,3171
1692.44,79.26,2.522,3155
1692.59,82.55,2.515,3181
1692.74,85.49,2.517,3243
1692.9,85.22,2.528,3281
1693.05,82.11,2.528,3281
1693.2,78.78,2.509,3270
1693.35,80.01,2.487,3259
1693.51,83.62,2.483,3259
1693.66,84.33,2.484,3265
1693.81,82.74,2.485,3281
1693.96,82.33,2.487,3281
1694.12,83.51,2.481,3243
1694.27,83.86,2.476,3206
1694.42,82.09,2.478,3190
1694.57,78.97,2.491,3201
